"source","target","weight"
".net-framework","administrative-support",1
".net-framework","adobe-flash",1
".net-framework","adobe-illustrator",1
".net-framework","adobe-indesign",1
".net-framework","adobe-photoshop",1
".net-framework","advertising",1
".net-framework","affiliate-marketing",1
".net-framework","agile-software-development",1
".net-framework","ajax",3
".net-framework","amazon-ec2",1
".net-framework","amazon-web-services",2
".net-framework","android",2
".net-framework","android-app-development",2
".net-framework","angularjs",6
".net-framework","api",6
".net-framework","api-development",3
".net-framework","api-documentation",1
".net-framework","api-integration",2
".net-framework","apple-xcode",2
".net-framework","appointment-setting",1
".net-framework","arcgis",1
".net-framework","article-writing",1
".net-framework","asp.net",26
".net-framework","asp.net-mvc",21
".net-framework","asterisk",1
".net-framework","b2b-marketing",1
".net-framework","blender3d",1
".net-framework","blog-commenting",1
".net-framework","blog-writing",1
".net-framework","bootstrap",4
".net-framework","bug-fixes",1
".net-framework","business-development",1
".net-framework","business-proposal-writing",1
".net-framework","business-writing",1
".net-framework","c",1
".net-framework","c#",49
".net-framework","c++",12
".net-framework","call-handling",1
".net-framework","cold-calling",1
".net-framework","content-writing",1
".net-framework","conversion-rate-optimization",1
".net-framework","copywriting",1
".net-framework","creative-writing",1
".net-framework","crm",1
".net-framework","css",9
".net-framework","css3",4
".net-framework","customer-service",1
".net-framework","data-analysis",1
".net-framework","data-entry",1
".net-framework","database",3
".net-framework","database-architecture",2
".net-framework","database-design",1
".net-framework","database-programming",1
".net-framework","ecommerce-consulting",1
".net-framework","email-handling",1
".net-framework","email-marketing",1
".net-framework","english",1
".net-framework","english-grammar",1
".net-framework","excel-vba",3
".net-framework","facebook",1
".net-framework","frontend-development",1
".net-framework","game-development",1
".net-framework","gis",2
".net-framework","git",3
".net-framework","google-adwords",1
".net-framework","google-analytics",1
".net-framework","google-docs",1
".net-framework","google-plus",1
".net-framework","graphic-design",1
".net-framework","healthcare-information-technology",1
".net-framework","helpdesk-support",1
".net-framework","html",6
".net-framework","html5",12
".net-framework","iis",3
".net-framework","illustration",1
".net-framework","internet-marketing",1
".net-framework","ios-development",1
".net-framework","iphone-app-development",1
".net-framework","java",7
".net-framework","javascript",26
".net-framework","jquery",7
".net-framework","json",2
".net-framework","lead-generation",1
".net-framework","logo-design",1
".net-framework","magento",1
".net-framework","mailchimp",1
".net-framework","market-research",1
".net-framework","marketing-automation",1
".net-framework","marketing-strategy",1
".net-framework","meteor",1
".net-framework","microsoft-dynamics-crm",2
".net-framework","microsoft-excel",1
".net-framework","microsoft-power-bi",1
".net-framework","microsoft-sharepoint-development",3
".net-framework","microsoft-sql-server-administration",1
".net-framework","microsoft-sql-server-development",6
".net-framework","microsoft-visual-basic",2
".net-framework","microsoft-word",1
".net-framework","mobile-app-development",2
".net-framework","mongodb",1
".net-framework","ms-sql",3
".net-framework","mysql",4
".net-framework","mysql-programming",1
".net-framework","network-administration",1
".net-framework","network-security",1
".net-framework","nginx",2
".net-framework","node.js",2
".net-framework","off-page-optimization",1
".net-framework","on-page-optimization",1
".net-framework","outbound-sales",1
".net-framework","phone-support",1
".net-framework","php",7
".net-framework","pinterest",1
".net-framework","ppc-advertising",1
".net-framework","presentation-design",1
".net-framework","presentations",1
".net-framework","project-management",1
".net-framework","proposal-writing",1
".net-framework","prototype",1
".net-framework","python",3
".net-framework","react-native",1
".net-framework","research",1
".net-framework","responsive-web-design",1
".net-framework","restful",1
".net-framework","ruby",4
